ror,region,lr,lroe,coki,qs,sir
001xj8m36,Europe,0,0,1,0,0
001xjdh50,Asia,0,0,1,0,1
001xkv632,Oceania,0,0,1,1,1
001xq1j98,Americas,0,0,1,0,0
001xr1669,Asia,0,0,1,0,0
001xs0312,Asia,0,0,1,0,0
001y2wd07,Asia,0,0,1,0,0
001y71q13,Europe,0,0,1,0,0
001yc7927,Asia,0,0,1,0,0
001ycj259,Asia,0,0,1,0,1
001ydh096,Asia,0,0,1,0,0
001ydhs21,Europe,0,0,1,0,0
001ydyr37,Europe,0,0,1,0,0
001yedb91,Europe,0,0,1,0,0
001yjqf23,Asia,0,0,1,0,0
001ykb961,Americas,0,0,1,0,0
001yqrb02,Europe,0,0,1,0,0
001yrmh12,Americas,0,0,1,0,0
001yxxw51,Asia,0,0,1,0,0
001yzzh53,Asia,0,0,1,0,0
001z21q04,Europe,0,0,1,0,0
001zbj766,Europe,0,0,1,0,0
001zdzp98,Americas,0,0,1,0,0
001zf8v27,Europe,0,0,1,0,0
001zq7k15,Africa,0,0,1,0,0
00200ya62,Oceania,0,0,1,0,0
0020g7t18,Americas,0,0,1,0,0
0020hse07,Europe,0,0,1,0,0
0020kf976,Asia,0,0,1,0,0
0020mxe10,Europe,0,0,1,0,0
0020pnp42,Europe,0,0,1,0,0
0020snb74,Americas,1,1,1,0,0
0020x6414,Oceania,0,0,1,0,1
00212dq27,Europe,0,0,1,0,0
00216ta13,Americas,0,0,1,0,0
0021fvv57,Americas,0,0,1,0,0
0021gtp06,Europe,0,0,1,0,0
0021myq38,Americas,0,0,1,0,0
0021ws843,Americas,0,0,1,0,0
00222yk13,Europe,0,0,1,0,0
002273w22,Americas,0,0,1,0,0
00227f603,Europe,0,0,1,0,0
0022b3c04,Europe,0,0,1,0,0
0022e0327,Europe,0,0,1,0,0
0022kfb81,Europe,0,0,1,0,0
0022nd079,Asia,1,1,1,1,1
0022qva30,Americas,0,0,1,0,1
0022v2454,Asia,0,0,1,0,0
0022yfe36,Europe,0,0,1,0,0
00230yh09,Oceania,0,0,1,0,0
00235nr42,Americas,0,0,1,1,0
0023asr12,Asia,0,0,1,0,0
0023cym93,Europe,0,0,1,0,0
0023n7k70,Americas,0,0,1,0,0
0023q4k34,Europe,0,0,1,0,0
0023sah13,Europe,0,0,1,0,0
0023x8n30,Americas,0,0,1,0,0
0023ydp64,Americas,0,0,1,0,0
00240q980,Europe,1,1,1,1,0
00243c192,Americas,0,0,1,0,0
00247dh76,Asia,0,0,1,0,0
00247dx40,Asia,0,0,1,0,0
0024aa414,Asia,0,0,1,0,0
0024c1w94,Europe,0,0,1,0,0
0024cws33,Europe,0,0,1,0,0
0024cyb77,Americas,0,0,1,0,0
0024fc285,Americas,0,0,1,0,0
0024qhz65,Asia,0,0,1,0,0
0024sf220,Americas,0,0,1,0,0
0024v4x89,Asia,0,0,1,0,0
00254th47,Europe,0,0,1,0,0
00259c050,Asia,0,0,1,0,0
0025g8755,Europe,0,0,1,0,0
0025p3069,Americas,0,0,1,0,0
0025r1k74,Europe,0,0,1,0,1
0025ww868,Asia,0,0,1,0,0
0025x8m44,Americas,0,0,1,0,0
0025ycf95,Europe,0,0,1,0,0
00264zf15,Asia,0,0,1,0,0
00265c946,Europe,0,0,1,0,1
00266dp40,Europe,0,0,1,0,0
00268wk31,Asia,0,0,1,0,1
